experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
template_ablation,stratified_random,0,42,linear_fixed_cnn,0,98,5,0
template_ablation,stratified_random,0,42,linear_fixed_cnn,1,7,52,2
template_ablation,stratified_random,0,42,linear_fixed_cnn,2,0,5,36
template_ablation,stratified_random,0,42,dtw_clsmin_mean,0,98,5,0
template_ablation,stratified_random,0,42,dtw_clsmin_mean,1,10,47,4
template_ablation,stratified_random,0,42,dtw_clsmin_mean,2,0,3,38
template_ablation,stratified_random,0,42,dtw_clsmin_dba,0,96,7,0
template_ablation,stratified_random,0,42,dtw_clsmin_dba,1,2,55,4
template_ablation,stratified_random,0,42,dtw_clsmin_dba,2,0,3,38
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,0,93,9,1
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,1,2,56,3
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,2,1,1,39
template_ablation,stratified_random,0,42,linear_multi_residual_K1,0,98,5,0
template_ablation,stratified_random,0,42,linear_multi_residual_K1,1,5,52,4
template_ablation,stratified_random,0,42,linear_multi_residual_K1,2,0,5,36
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,0,100,3,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,1,2,59,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,2,0,3,38
template_ablation,stratified_random,0,42,linear_multi_residual_K2,0,99,4,0
template_ablation,stratified_random,0,42,linear_multi_residual_K2,1,5,55,1
template_ablation,stratified_random,0,42,linear_multi_residual_K2,2,0,5,36
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,0,98,5,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,1,3,57,1
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,2,0,2,39
template_ablation,stratified_random,0,42,linear_multi_residual_K3,0,99,4,0
template_ablation,stratified_random,0,42,linear_multi_residual_K3,1,5,54,2
template_ablation,stratified_random,0,42,linear_multi_residual_K3,2,0,7,34
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,0,100,3,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,1,5,56,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,2,0,2,39
template_ablation,stratified_random,0,42,linear_multi_residual_K4,0,100,3,0
template_ablation,stratified_random,0,42,linear_multi_residual_K4,1,5,55,1
template_ablation,stratified_random,0,42,linear_multi_residual_K4,2,0,6,35
template_ablation,stratified_random,0,42,dtw_random_pool_K2,0,102,1,0
template_ablation,stratified_random,0,42,dtw_random_pool_K2,1,9,45,7
template_ablation,stratified_random,0,42,dtw_random_pool_K2,2,0,2,39
