experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
template_ablation,stratified_random,0,42,linear_fixed_cnn,0,93,10,0
template_ablation,stratified_random,0,42,linear_fixed_cnn,1,9,47,5
template_ablation,stratified_random,0,42,linear_fixed_cnn,2,0,8,33
template_ablation,stratified_random,0,42,dtw_clsmin_mean,0,93,10,0
template_ablation,stratified_random,0,42,dtw_clsmin_mean,1,8,48,5
template_ablation,stratified_random,0,42,dtw_clsmin_mean,2,0,2,39
template_ablation,stratified_random,0,42,dtw_clsmin_dba,0,101,2,0
template_ablation,stratified_random,0,42,dtw_clsmin_dba,1,14,43,4
template_ablation,stratified_random,0,42,dtw_clsmin_dba,2,0,3,38
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,0,92,10,1
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,1,2,58,1
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,2,0,3,38
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,0,99,4,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,1,4,57,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,2,0,4,37
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,0,100,3,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,1,15,37,9
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,2,0,5,36
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,0,100,3,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,1,4,57,0
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,2,1,2,38
template_ablation,stratified_random,0,42,dtw_random_pool_K2,0,100,3,0
template_ablation,stratified_random,0,42,dtw_random_pool_K2,1,7,49,5
template_ablation,stratified_random,0,42,dtw_random_pool_K2,2,0,3,38
